"","hhid","exinc","inc","age","gender","nmembers","nkids","college","working","year"
"9492",55556,25150.717,30143.18,52,1,3,2,0,1,2019
"6183",32324,53018.324,52088.18,58,0,2,0,0,1,2020
"3031",13455,24491.334,22607.385,53,1,3,1,0,1,2019
"13670",83920,44051.129,67999.016,38,0,5,3,0,1,2017
"13098",79913,20835.271,26044.09,71,0,2,0,0,0,2020
"3911",15958,15097.876,117138.7,71,0,2,0,0,0,2012
"6464",34126,33298.793,32430.293,44,0,1,0,0,1,2019
"6549",34592,14749.263,11799.41,65,0,2,0,0,1,2017
"10920",65008,19429.695,17699.115,32,0,1,0,0,1,2017
"3969",16538,26875.482,17401.393,49,0,4,2,0,1,2018
"6935",37035,39400,32000,54,0,3,1,0,1,2015
"12317",74484,42052.313,32193.158,52,0,1,0,1,1,2014
"6962",37223,26563.678,30143.18,70,0,3,1,0,0,2019
"6044",31375,2455.5298,22235.111,26,1,1,0,0,1,2018
"4074",17234,19365.641,16742.629,59,1,1,0,0,1,2020
"2869",13325,72437.828,58873.398,46,1,4,2,1,1,2019
"12401",75042,14556.435,12494.794,51,0,1,0,0,1,2012
"10837",64416,44657.098,41417.465,49,0,1,0,0,1,2016
"13480",82452,22200,20000,61,0,3,1,0,1,2015
"11544",69207,49297.738,49297.738,67,0,2,0,0,0,2020
"8004",44901,29559.355,35211.27,37,1,6,4,0,0,2014
"2748",13224,20050.271,22235.111,51,0,1,0,0,1,2018
"6695",35451,0,23138.832,75,0,2,0,0,0,2014
"12640",76976,19026.549,17699.115,72,0,2,0,0,0,2017
"12031",72835,28369.453,29764.674,44,1,2,0,0,0,2020
"445",1375,45611.539,45205.199,64,1,1,0,0,0,2013
"4934",23516,42600,44000,63,1,3,1,0,1,2015
"11598",69555,38602.195,36570.5,41,0,5,3,0,1,2013
"1698",11914,37579.746,37579.746,72,0,2,0,0,0,2016
"6403",33691,40000,44000,53,0,4,2,0,1,2015
"1255",10492,92703.352,112141.15,70,1,2,0,1,0,2016
"9847",57873,18325.697,18742.191,64,0,2,0,0,0,2012
"7432",40620,14639.135,14027.532,34,0,1,0,0,1,2017
"7233",39177,11862.041,2217.9028,65,1,1,0,1,0,2016
"904",4175,1769.9115,1769.9115,68,1,1,0,0,0,2017
"9996",58715,30953.881,48760.668,65,0,2,0,0,0,2013
"12300",74437,25396.18,25396.18,32,0,1,0,0,1,2013
"228",848,27781.928,35847.648,67,0,2,0,0,0,2011
"7452",40853,32696.178,32193.158,32,0,3,1,0,1,2014
"11165",66799,67303.82,70422.539,38,0,4,2,0,1,2014
"9869",58024,1573.2546,2163.2251,38,1,2,1,0,1,2017
"13316",81400,37484.383,62473.969,62,0,2,0,0,1,2012
"4451",19968,31717.98,29764.674,48,0,2,0,0,1,2020
"9523",55867,25038.67,22235.111,51,1,3,1,0,0,2018
"3995",16657,0,11303.692,82,0,2,0,0,0,2019
"4836",22893,41956.691,22235.111,26,1,2,0,0,1,2018
"5897",30375,45094.59,44348.082,70,0,2,0,0,0,2017
"8821",50941,34494.465,29764.674,62,1,3,0,0,0,2020
"12496",75686,42313.883,41046.277,29,1,4,2,0,1,2014
"5309",26073,13476.874,31897.926,41,0,6,1,0,1,2016
"3423",13827,33206.215,2726.2581,69,0,2,0,0,0,2020
"12437",75293,22937.076,22607.385,59,0,1,0,0,1,2019
"10420",61702,64452.313,62473.969,56,0,2,0,1,1,2012
"1373",10776,26857.037,2214.6777,72,0,2,0,1,1,2020
"12473",75530,57521.27,60421.5,55,1,2,0,0,1,2018
"3451",13868,47098.719,3767.8975,71,1,2,0,0,0,2019
"12034",72858,58873.398,47098.719,35,0,3,1,1,1,2019
"7234",39177,13765.979,14262.537,66,1,1,0,1,0,2017
